lambda_mid,lambda_min,lambda_max,rows,N_mean,var_r_excess,var_r1,mean_r_excess,N_stratum,is_interior
5.142857142857143,0.9230769230769232,9.31578947368421,106,15.443396226415095,0.06310858612241294,0.03722870333653109,0.2122121389181024,N13_plus,False
12.961538461538462,9.411764705882351,17.157894736842106,106,16.245283018867923,0.04565296803965334,0.027444133024911145,0.2509522593966528,N13_plus,True
22.915865384615387,17.2,30.214285714285715,106,16.82075471698113,0.037279217873578414,0.022575280044820734,0.2626024641510025,N13_plus,True
33.6551724137931,30.39393939393939,35.357142857142854,107,16.962616822429908,0.03258356106593823,0.019942646553549506,0.25822360608196715,N13_plus,True
37.53846153846154,35.4,40.6,105,18.552380952380954,0.04274753818940848,0.024303714553798945,0.289479905254805,N13_plus,True
43.69230769230769,40.61538461538461,46.785714285714285,106,17.49056603773585,0.042539602307061664,0.023770051432718375,0.32915935268492214,N13_plus,True
49.925824175824175,46.84615384615385,55.111111111111114,106,17.70754716981132,0.03476476274176191,0.019754248737143053,0.3266267470994547,N13_plus,True
67.08333333333334,55.2,108.66666666666669,106,17.39622641509434,0.04393005852816829,0.024469344307601688,0.298406959270772,N13_plus,False
8.0,0.7777777777777778,15.3,229,10.131004366812228,0.0557168998163307,0.028108546173942213,0.22404595557471524,N09_12,False
20.5,15.333333333333334,28.555555555555557,225,10.231111111111112,0.041138502044696566,0.0209643135192274,0.21918875751079608,N09_12,True
34.44444444444444,28.6,39.0,229,10.406113537117903,0.04001452023093355,0.01997170445473088,0.22664709587229578,N09_12,True
42.21111111111111,39.083333333333336,45.888888888888886,226,10.305309734513274,0.039569528786764264,0.02067630502898646,0.21273971548132165,N09_12,True
48.9,45.9,52.333333333333336,225,10.213333333333333,0.05174754720830758,0.026517357408100243,0.21608247000087596,N09_12,True
55.894444444444446,52.36363636363637,60.27272727272727,226,10.128318584070797,0.05531767957178854,0.028361823357300177,0.2249333425199861,N09_12,True
67.04166666666666,60.333333333333336,75.22222222222223,228,9.978070175438596,0.05404138349794683,0.027730572007086365,0.2274727990439388,N09_12,True
87.22222222222223,75.4,132.33333333333334,225,9.88,0.05104619751704866,0.025948638384980533,0.22278655506032224,N09_12,False
2.0,0.0,5.2,290,4.3517241379310345,0.16052585285780305,0.05024284546780206,0.21644778093800543,N04_05,False
11.2,5.25,17.2,289,4.449826989619377,0.15419795333663625,0.0490063707792326,0.14452440224808685,N04_05,True
24.700000000000003,17.25,31.0,290,4.5,0.12162241838252771,0.039097664490479064,0.13546865529513274,N04_05,True
36.5,31.2,40.4,289,4.408304498269896,0.09336998887122011,0.028414022217037864,0.11211897584552476,N04_05,True
45.25,40.5,49.5,289,4.429065743944637,0.10066980428539643,0.03184524759171686,0.08099039300161413,N04_05,True
57.0,49.6,69.5,287,4.466898954703833,0.11949009635067202,0.037833667915683274,0.06571913280444121,N04_05,True
86.1,69.75,107.6,288,4.645833333333333,0.10573410173170533,0.03490493658073976,0.07671508156800559,N04_05,True
134.5,107.8,448.25,289,4.567474048442906,0.12969894974346874,0.04273346480126271,0.12338668275861062,N04_05,False
0.0,0.0,2.0,648,2.317901234567901,0.5894394817060729,0.083845651245821,0.06368281378977744,N02_03,False
4.0,2.3333333333333335,6.0,286,2.4545454545454546,0.5576310406635735,0.08266032909222128,0.09696138725183168,N02_03,True
10.0,6.333333333333333,17.5,293,2.580204778156997,0.4980767060399856,0.07560514833783209,-0.013836545834872004,N02_03,True
27.5,17.666666666666668,41.0,305,2.5672131147540984,0.40750867699580057,0.07130251791363555,0.06282177512002865,N02_03,True
50.0,41.333333333333336,66.33333333333333,307,2.739413680781759,0.3667557219785708,0.06670934266978615,-0.01441157923508124,N02_03,True
91.0,66.5,139.0,307,2.485342019543974,0.47886118843410636,0.079359663994147,0.030071944235392632,N02_03,True
243.0,139.33333333333334,959.0,306,2.303921568627451,0.5013118676965269,0.08391826632892024,0.28867017245957277,N02_03,False
5.666666666666667,0.0,11.166666666666666,340,6.829411764705882,0.0771920397481101,0.032060852583497855,0.22300703277625875,N06_08,False
20.285714285714285,11.25,27.666666666666668,339,6.870206489675517,0.08319910763550117,0.035972122402699876,0.17566543139104807,N06_08,True
34.142857142857146,27.714285714285715,39.166666666666664,343,6.8425655976676385,0.056500854223712156,0.02389541562255034,0.21535424674984688,N06_08,True
43.166666666666664,39.25,47.875,335,6.964179104477612,0.04670507148334891,0.01979355698620703,0.2048457589583937,N06_08,True
53.166666666666664,48.0,58.285714285714285,337,6.922848664688427,0.05865257074216689,0.02515364818038183,0.1682229411189024,N06_08,True
64.59821428571428,58.333333333333336,71.83333333333333,340,6.920588235294118,0.06335539983113277,0.027057613508119766,0.14149869932183315,N06_08,True
80.875,71.85714285714286,91.375,338,6.979289940828402,0.0632263210389891,0.02696281607816588,0.14371737265713594,N06_08,True
109.5,91.57142857142856,191.66666666666663,339,6.743362831858407,0.07127971385215408,0.029887841483059927,0.15427780735010788,N06_08,False
