line_code,direction,n_trips,run_min_median,omega_mean,omega_sd,g0,K_c,K_c_over_omega_mean,K_c_over_omega_sd,cv_run_time
30,0,2461,27.94685259946667,0.24598826818677863,0.07941331990504655,5.1268582013892,0.1241734698640738,0.5047942764887836,1.5636352945897032,0.29631241731723695
30,1,2300,29.484416379733332,0.2261635454294007,0.06327812795655047,6.76328596495918,0.09412876753488328,0.41619778888842435,1.4875403330439265,0.4871449870917221
31,1,914,44.66659133013333,0.15097454415220182,0.041443594975432395,12.048674493240734,0.052837328514827336,0.34997508229970536,1.2749214576136338,0.21918725420520632
33,0,407,35.09609136213333,0.1837323955983984,0.05912851445832155,7.492206046983254,0.08497093758171761,0.4624711788303614,1.437055173128218,0.532130339609026
33,1,467,32.18371804586666,0.1999565265640072,0.037705653654387265,10.761197480984015,0.05915882256529022,0.29585842273747015,1.5689642489040037,0.20558545359688038
34A,0,540,35.564942427733335,0.18146216111469549,0.05143259755523938,6.425873218453997,0.09907132474063127,0.5459613405464292,1.926236073031839,0.3724537358410046
34A,1,476,39.3796311488,0.16565973602749154,0.037497370024387564,8.65471793208636,0.07355754137375034,0.4440278799040422,1.9616720139548438,0.294885018382448
35,0,359,43.641949107200006,0.14800302489908485,0.041579530656934816,7.067683950029772,0.09007473691079518,0.6086006483462902,2.166324041846108,0.2982770227750349
35,1,392,53.76900222933333,0.12286754235051846,0.02992733350606429,10.75950425326553,0.059168132414127356,0.4815603151345827,1.9770599476274051,0.2348423563239815
36,0,665,38.46799936,0.17556335985675184,0.051044795877160716,6.289106009520824,0.1012257976577002,0.5765770132235667,1.9830777245402265,0.28975918117379135
36,1,664,45.49242849706667,0.1452124652078567,0.035826792955547276,9.791392110673764,0.06501831048861696,0.44774606915150117,1.8147957192062816,0.23137562171051182
38A,0,306,80.75275257173334,0.07818083589794049,0.016038574426910084,21.232162012810463,0.02998374692051971,0.38351786056190745,1.8694770571511596,0.21736964009487053
38A,1,244,82.98213030826668,0.07542603353378231,0.012426503027936872,30.837757141144678,0.020644165833908323,0.2737008015231515,1.661301316025656,0.171553471461605
39A,0,802,56.97442943786666,0.11363070635211928,0.02428501377304863,15.730054529262777,0.040471555339065816,0.3561674184586374,1.666523878359127,0.23149687901709357
39A,1,776,58.999107210666665,0.10941611775805021,0.01908358174828895,19.93396145844279,0.03193644041575834,0.29188058459886856,1.6735034773344784,0.17953814860424716
44,0,715,31.961436680533332,0.20636452060748287,0.06116768802933849,4.907982064282169,0.12971110408095837,0.628553317688152,2.1205820958729666,0.2952817218508242
44,1,683,42.533639991466664,0.15594919910525631,0.04209225026867649,7.988786062281468,0.07968917522692717,0.510994450014083,1.893203017616498,0.3056353289702735
45,0,1358,28.0235314752,0.24230913507184706,0.09436653659315808,3.622953629695887,0.1757184434129839,0.7251829088527002,1.8620842700899138,0.4253765815136605
45,1,1344,35.01371898239999,0.19018626438482708,0.05243458407675974,7.453535306762775,0.08541178731520338,0.4490954569798968,1.628920850982013,0.3457678968746467
46,0,358,67.3784069824,0.09607460860608082,0.02101900015868777,18.21626905191911,0.034947868334241176,0.3637575925761225,1.6626798644271477,0.21030032945539398
46,1,314,68.65657948586667,0.09518525974893591,0.019385808682408023,25.69036358672488,0.024780489003921505,0.2603395638072893,1.278279870078826,0.17944309426808505
48,0,405,51.868518848,0.12361997988231006,0.028219610948050804,13.660648067048067,0.04660245760252198,0.3769815983378166,1.6514209812570404,0.3094423070696819
48,1,406,55.53027252053333,0.11535663925418606,0.022352816918765454,16.27326985425133,0.03912058105527371,0.339127260539138,1.7501409865899953,0.19620527618598707
49.1,1,1452,46.57260409813333,0.13711356649801903,0.028209582954618413,17.06283198205981,0.03731032298957967,0.272112555617308,1.322611647595141,0.19815522303615712
49.2,1,1877,19.00840265813333,0.3257721990096423,0.06511352319597805,6.382282907792512,0.09974797130824364,0.3061893298798381,1.5319086790623075,0.31862312812612303
61,0,933,54.456512763733336,0.1246139765006633,0.03275946433181044,10.603009964577955,0.06004141979441415,0.4818193069546622,1.8327961405679059,0.2558146670270408
61,1,1028,42.10220975359999,0.1555248850328275,0.037868469001525136,11.661870740241373,0.05458984982322013,0.35100395548723634,1.4415647440360355,0.2572040388053836
62,0,883,63.339240302933334,0.10618173779855065,0.02818496036477536,15.306365703103873,0.041591830792236044,0.3917041824192461,1.4756746241238696,0.2340688049091004
62,1,716,52.129153851733335,0.12877317166183563,0.04120977135228314,10.876088197160488,0.058533892041606375,0.4545503639167878,1.4203886631941585,0.3150360008632414
67,0,1501,36.84764269226666,0.17741802864765385,0.04635256542577522,8.196041648122055,0.07767405287812916,0.437802479658858,1.67572284650586,0.3056702944681915
67,1,1556,38.1661777024,0.1650490056111058,0.03345330992478906,14.005455543327834,0.045455127853436056,0.2754038273974156,1.3587632421314937,0.23828612845460675
OC1,0,685,53.14486784853333,0.12068811780799317,0.025679244303157357,17.61720977755652,0.03613624293550755,0.2994183983629435,1.4072159799135704,0.22499959710680903
OC1,1,702,50.4275575744,0.12766594130719966,0.02129309757125102,18.262187706510367,0.0348599950125707,0.27305634263634876,1.6371500152066694,0.1937172558419061
OC2,0,486,62.56590292906667,0.10217098381344568,0.020214394100632513,22.001504148310012,0.028935284064043484,0.2832045164297968,1.4314198051149152,0.22393553792042606
OC2,1,420,59.46339798613334,0.10630725219767034,0.01508894597048852,28.85709363618695,0.022061118849794933,0.20752223760589675,1.4620715650346172,0.2340666411097186
OC3,0,684,69.10934434986666,0.0935313543647384,0.018260430679278006,22.538332806040003,0.02824608979937393,0.3019959455438271,1.5468468567626765,0.20052721803244639
OC3,1,604,67.32414498773333,0.09488545254131148,0.012459038710139012,34.13716742116058,0.01864887512526773,0.1965409304144735,1.496814927630934,0.12739787934838162
