line_code,direction,service_date,hour,mean_cos,mean_sin,N,active_bus_hours,median_midpoint_gap_min,median_residual_m,r1,boardings,distinct_registered_users,free_or_transfer_boardings,day_type,demand_join_level,day_category,hour_of_day,is_peak,period,lambda_boardings_per_bus,rain_mm,rain_hour,rain_day,temp_c,draws,r_null_mean,r_null_std,r_null_q025,r_null_q975,r_random_asymptotic_0_886_over_sqrtN,r_splay,r_excess,z,analysis_eligible
30,0,2026-03-13,2026-03-13 14:00:00,0.5657836157864969,-0.0527289806958133,21,21,0.1,4.51010163360156,0.5682353784283954,1702,1521,411,1.0,line_hour_repeated_for_each_direction,weekday,14,False,off_peak,81.04761904761905,0.0,False,True,28.2,5000,0.1915579093604255,0.09953989665616615,0.03527713084666525,0.40930396015350906,0.19339056984383107,1.057355261547768e-17,0.4659300566228225,3.784185856341615,True
30,0,2026-03-13,2026-03-13 15:00:00,0.3091939203055131,0.12583343135446412,11,11,16.133333333333333,3.5207604975830686,0.3338187124777918,1191,1056,207,1.0,line_hour_repeated_for_each_direction,weekday,15,False,off_peak,108.27272727272727,0.0,False,True,27.9,5000,0.2697856174349346,0.1365297139459375,0.04943733983078588,0.5703871178060056,0.2672074717577669,6.055761952500853e-17,0.08769081597369327,0.4690048282691984,True
30,0,2026-03-13,2026-03-13 16:00:00,0.5859529841468463,-0.030837192749741435,27,27,0.08333333333333333,5.234862172280577,0.5867638639923892,901,826,128,1.0,line_hour_repeated_for_each_direction,weekday,16,False,off_peak,33.370370370370374,0.0,False,True,27.4,5000,0.17044078385090655,0.08765328644531206,0.03202066607097021,0.36240436802942866,0.1705544512372814,4.625929269271485e-17,0.5018605929955199,4.749657394776996,True
30,0,2026-03-13,2026-03-13 17:00:00,0.520657811583822,-0.07524255760185924,25,25,0.03333333333333333,4.715578565853313,0.5260665349912725,502,457,78,1.0,line_hour_repeated_for_each_direction,weekday,17,True,peak,20.08,0.0,False,True,26.7,5000,0.17679619672728403,0.09070579528280805,0.03488083051659599,0.38393369313228315,0.177245385,5.1836834957480494e-17,0.4242817354286203,3.8505845979853017,True
30,0,2026-03-13,2026-03-13 18:00:00,0.33188897719969235,0.18383492930748965,20,20,0.03333333333333333,4.739288115823502,0.37940160044489485,240,223,50,1.0,line_hour_repeated_for_each_direction,weekday,18,True,peak,12.0,4.6,True,True,24.2,5000,0.19933326389447692,0.10135813656609009,0.03800324274861519,0.41965840467632126,0.19816636477906077,4.47545209131181e-17,0.22489798617871642,1.776555318112081,True
30,0,2026-03-13,2026-03-13 19:00:00,0.621374205736661,-0.1008833726272957,19,19,0.05,5.5930191343869025,0.6295104116911207,128,117,27,1.0,line_hour_repeated_for_each_direction,weekday,19,False,off_peak,6.7368421052631575,1.0,True,True,24.2,5000,0.20157916928229339,0.10455475366324173,0.03579232682189898,0.4296787173547316,0.20331440037472628,2.4092456834327563e-17,0.5359720412406532,4.092891307334933,True
30,0,2026-03-13,2026-03-13 20:00:00,0.588759013328238,0.01311697765621609,15,15,0.08333333333333333,6.797988639416657,0.5889051119476498,51,50,13,1.0,line_hour_repeated_for_each_direction,weekday,20,False,off_peak,3.4,0.4,True,True,24.1,5000,0.2289757570481631,0.11639252372821327,0.04168166723566977,0.48267807767377313,0.22882280809904063,8.91257036971778e-17,0.46681976369706735,3.0923752090808967,True
30,0,2026-03-13,2026-03-13 21:00:00,0.6235526505230248,0.019865560865328757,9,9,0.4,10.971475059949844,0.6238690154854492,11,10,3,2.0,line_hour_repeated_for_each_direction,weekday,21,False,off_peak,1.2222222222222223,0.4,True,True,24.0,5000,0.29859851907724216,0.14923830146046793,0.05953268026935572,0.6256892270155476,0.295408975,8.722735881576527e-17,0.46374366928949723,2.1795376470052403,True
30,0,2026-03-13,2026-03-13 22:00:00,0.916738572762146,-0.174643847868679,5,5,0.06666666666666667,5.506474677126286,0.9332256342323408,18,12,6,2.0,line_hour_repeated_for_each_direction,weekday,22,False,off_peak,3.6,0.0,False,True,23.8,5000,0.39989834339372715,0.1987439029736825,0.08139669655257929,0.8287562583495031,0.39633272955812154,4.9650683064945465e-17,0.888728242902569,2.683490073701715,True
30,0,2026-03-13,2026-03-13 23:00:00,0.632077507624599,0.18278419595707673,4,4,0.75,16.42794939084265,0.6579757122695336,2,2,1,2.0,line_hour_repeated_for_each_direction,weekday,23,False,off_peak,0.5,0.0,False,True,23.8,5000,0.45262867991042205,0.21867693653724046,0.0762520819247966,0.9142674014677062,0.4431134625,6.206335383118183e-17,0.3751512452744258,0.9390429352577889,True
